质量_A
t	x	y	v	v_{y}	v_{x}
3.333333333E-2	3.041178046E-2	-3.276298025E-2			
6.666666667E-2	4.517819409E-2	-3.416930536E-2	3.175199399E-1	-2.636859577E-2	3.164231493E-1
1.000000000E-1	5.150665708E-2	-3.452088663E-2	3.028602831E-1	-3.691603408E-2	3.006019918E-1
1.333333333E-1	6.521832688E-2	-3.663037429E-2	3.806222542E-1	-2.636859577E-2	3.797077791E-1
1.666666667E-1	7.682050902E-2	-3.627879302E-2	2.426483974E-1	5.273719155E-3	2.425910811E-1
2.000000000E-1	8.139106562E-2	-3.627879302E-2	1.372180782E-1	-5.273719155E-3	1.371166980E-1
2.333333333E-1	8.596162222E-2	-3.663037429E-2	9.492694478E-2	-0.000000000E0	9.492694478E-2
2.666666667E-1	8.771952860E-2	-3.627879302E-2	8.519954038E-2	3.164231493E-2	-7.910578732E-2
3.000000000E-1	8.068790306E-2	-3.452088663E-2	1.976765534E-1	3.164231493E-2	-1.951276087E-1
3.333333333E-1	7.471102136E-2	-3.416930536E-2	1.805430621E-1	2.109487662E-2	-1.793064513E-1
3.666666667E-1	6.873413965E-2	-3.311456152E-2	4.193187128E-1	4.746347239E-2	-4.166238132E-1
4.000000000E-1	4.693610048E-2	-3.100507386E-2	6.063859790E-1	7.910578732E-2	-6.012039836E-1
4.333333333E-1	2.865387407E-2	-2.784084237E-2	6.563417230E-1	1.456822067E-1	-6.399696493E-1
4.666666667E-1	4.271457191E-3	-2.129292675E-2	6.700136255E-1	7.789447995E-2	-6.654702911E-1
5.000000000E-1	-1.571081200E-2	-2.264787704E-2	5.447825934E-1	-9.059630919E-2	-5.371967822E-1
5.333333333E-1	-3.154166162E-2	-2.733268069E-2	3.591958417E-1	-7.618876141E-2	-3.510226849E-1
5.666666667E-1	-3.911232433E-2	-2.772712780E-2	1.848809391E-1	-5.387570421E-2	-1.768569199E-1
6.000000000E-1	-4.333212295E-2	-3.092439431E-2	4.482997127E-2	-2.509289489E-2	3.714933311E-2
6.333333333E-1	-3.663570212E-2	-2.939998746E-2	2.884541809E-1	-1.599320613E-2	2.880104718E-1
6.666666667E-1	-2.413142484E-2	-3.199060805E-2	3.697521545E-1	4.034089227E-2	3.675449199E-1
7.000000000E-1	-1.213270746E-2	-2.671059464E-2	4.751507338E-1	3.393919211E-2	4.739370750E-1
7.333333333E-1	7.464380167E-3	-2.972799524E-2	5.522847763E-1	-6.498180383E-2	5.484485749E-1
7.666666667E-1	2.443053087E-2	-3.104271490E-2	5.741330015E-1	-1.213505557E-2	5.740047420E-1
8.000000000E-1	4.573136297E-2	-3.053699895E-2	5.934061252E-1	1.890728773E-2	5.931048339E-1
8.333333333E-1	6.397085313E-2	-2.978222905E-2	4.333051251E-1	9.172929843E-3	4.332080202E-1
8.666666667E-1	7.461189765E-2	-2.992547029E-2	2.188555904E-1	-1.982652044E-2	2.179556802E-1
9.000000000E-1	7.850123181E-2	-3.110399708E-2	2.055904301E-1	-1.585873962E-1	1.308337216E-1
9.333333333E-1	8.333414576E-2	-4.049796337E-2	1.588564971E-1	-1.305028027E-1	9.057817141E-2
9.666666667E-1	8.453977657E-2	-3.980418393E-2	1.886175942E-2	1.663050895E-2	-8.898996597E-3
1.000000000E0	8.274087932E-2	-3.938926277E-2	1.566965479E-1	1.284224182E-2	-1.561694111E-1
1.033333333E0	7.412848250E-2	-3.894803447E-2	3.289936004E-1	3.808241130E-2	-3.267820666E-1
1.066666667E0	6.095540821E-2	-3.685043535E-2	4.594180865E-1	1.385326109E-1	-4.380338959E-1
1.100000000E0	4.492622277E-2	-2.971252708E-2	5.112014378E-1	6.617568596E-2	-5.069000775E-1
1.133333333E0	2.716206971E-2	-3.243872295E-2	5.410318543E-1	-2.321371895E-2	-5.405336166E-1
