	质量 A		
t	x	y	
7.674	3.819E-2	0.140
7.708	4.353E-2	0.118
7.742	3.994E-2	0.105
7.776	3.584E-2	8.902E-2
7.810	3.227E-2	7.800E-2
7.844	2.250E-2	4.975E-2
7.878	2.109E-2	2.419E-2
7.912	1.378E-2	-3.600E-4
7.946	9.341E-3	-2.274E-2
7.980	8.716E-3	-3.863E-2
8.014	2.439E-3	-5.796E-2
8.048	-5.776E-3	-7.855E-2
8.082	-1.026E-2	-9.567E-2
8.116	-1.481E-2	-0.108
8.150	-1.944E-2	-0.116
8.184	-2.427E-2	-0.118
8.218	-2.846E-2	-0.114
8.252	-2.634E-2	-0.104
8.286	-2.664E-2	-9.392E-2
8.319	-2.683E-2	-8.134E-2
8.353	-2.780E-2	-6.676E-2
8.387	-2.984E-2	-5.105E-2
8.421	-3.205E-2	-2.978E-2
8.455	-2.830E-2	5.749E-3
8.489	-3.620E-2	2.909E-2
8.523	-4.335E-2	5.152E-2
8.557	-4.680E-2	7.276E-2
8.591	-4.744E-2	8.786E-2
8.625	-4.783E-2	0.104
8.659	-4.541E-2	0.125
8.693	-4.696E-2	0.130
8.727	-4.471E-2	0.138
8.761	-4.124E-2	0.143
8.795	-3.653E-2	0.144
8.829	-3.149E-2	0.141
8.863	-2.576E-2	0.136
8.897	-1.971E-2	0.127
8.931	-1.343E-2	0.114
8.965	-7.272E-3	9.920E-2
8.999	-1.543E-3	8.234E-2
9.033	4.569E-3	6.242E-2
9.067	9.821E-3	4.144E-2
9.100	1.097E-2	1.649E-2
9.134	2.207E-2	-7.593E-5
9.168	2.645E-2	-2.301E-2
9.202	3.910E-2	-3.919E-2
9.236	4.443E-2	-5.544E-2
9.270	4.861E-2	-6.906E-2
9.304	5.114E-2	-7.943E-2
9.338	5.179E-2	-8.662E-2
9.372	5.092E-2	-9.058E-2
9.406	4.819E-2	-9.066E-2
9.440	4.366E-2	-8.689E-2
9.474	3.742E-2	-7.997E-2
9.508	3.014E-2	-7.005E-2
9.542	2.082E-2	-5.653E-2
9.576	1.145E-2	-4.213E-2
9.610	-4.968E-3	-7.022E-3
9.644	-7.257E-3	2.441E-2
9.678	-1.676E-2	4.703E-2
9.712	-3.391E-2	5.605E-2
9.746	-4.277E-2	7.500E-2
9.780	-5.075E-2	9.165E-2
9.814	-5.778E-2	0.106
9.848	-6.353E-2	0.118
9.881	-6.090E-2	0.122
9.915	-6.376E-2	0.127
9.949	-6.549E-2	0.129
9.983	-6.501E-2	0.128
10.017	-6.333E-2	0.123
10.051	-5.996E-2	0.115
10.085	-5.495E-2	0.105
10.119	-4.853E-2	9.138E-2
10.153	-4.137E-2	7.629E-2
10.187	-3.320E-2	5.938E-2
10.221	-2.436E-2	4.015E-2
10.255	-1.723E-2	1.580E-2
10.289	-5.420E-3	1.919E-3
10.323	-9.988E-4	-2.544E-2
10.357	5.995E-3	-4.079E-2
10.391	1.407E-2	-5.874E-2
10.425	2.153E-2	-7.455E-2
10.459	3.913E-2	-7.752E-2
10.493	4.605E-2	-9.630E-2
10.527	5.007E-2	-0.101
10.561	5.269E-2	-0.101
10.595	5.378E-2	-9.698E-2
10.629	5.169E-2	-8.878E-2
10.663	5.063E-2	-7.481E-2
10.696	4.241E-2	-6.303E-2
10.730	3.517E-2	-4.668E-2
10.764	2.738E-2	-2.722E-2
10.798	2.608E-2	-3.621E-3
10.832	2.066E-2	1.917E-2
10.866	1.646E-2	4.109E-2
10.900	9.466E-3	6.056E-2
10.934	5.856E-3	7.710E-2
10.968	-8.812E-3	9.111E-2
11.002	-1.429E-2	0.110
11.036	-1.550E-2	0.128
11.070	-1.005E-2	0.125
11.104	-2.377E-2	0.134
11.138	-2.740E-2	0.138
11.172	-2.983E-2	0.137
11.206	-3.087E-2	0.132
11.240	-3.239E-2	0.122
11.274	-3.421E-2	0.109
11.308	-3.578E-2	9.041E-2
11.342	-3.476E-2	7.941E-2
11.376	-3.908E-2	6.569E-2
11.410	-3.702E-2	4.733E-2
11.444	-2.761E-2	2.915E-2
11.477	-2.622E-2	2.534E-3
11.511	-4.080E-2	-4.035E-2
11.545		
11.579	-4.332E-2	-6.858E-2
11.613	-4.373E-2	-8.090E-2
11.647	-4.381E-2	-9.098E-2
11.681	-4.236E-2	-9.917E-2
11.715	-4.002E-2	-0.104
11.749	-2.918E-2	-9.143E-2
11.783	-1.652E-2	-8.825E-2
11.817	-1.686E-2	-7.596E-2
11.851	-1.706E-2	-6.338E-2
11.885	-1.626E-2	-5.274E-2
11.919	-1.177E-2	-2.993E-2
11.953	-6.508E-3	-9.836E-3
11.987	-4.535E-4	9.852E-3
12.021	8.877E-3	2.398E-2
12.055	1.672E-2	4.967E-2
12.089	2.164E-2	6.970E-2
12.123	2.562E-2	8.792E-2
12.157	2.787E-2	0.102
12.191	2.969E-2	0.114
12.225	3.090E-2	0.123
12.258	3.126E-2	0.130
12.292	3.080E-2	0.133
12.326	2.946E-2	0.133
12.360	2.710E-2	0.130
12.394	2.365E-2	0.123
12.428	1.910E-2	0.112
12.462	6.169E-3	9.770E-2
12.496	4.604E-3	8.134E-2
12.530	-5.065E-3	6.656E-2
12.564	-1.367E-2	5.717E-2
12.598	-1.877E-2	3.712E-2
12.632	-2.336E-2	1.669E-2
12.666	-3.175E-2	-8.460E-3
12.700	-3.852E-2	-2.376E-2
12.734	-5.214E-2	-4.376E-2
12.768	-5.988E-2	-5.880E-2
12.802	-6.611E-2	-6.993E-2
12.836	-7.147E-2	-7.950E-2
12.870	-7.559E-2	-8.463E-2
12.904	-7.777E-2	-8.632E-2
12.938	-7.751E-2	-8.378E-2
12.972	-7.459E-2	-7.674E-2
13.006	-6.949E-2	-6.637E-2
13.039	-6.301E-2	-5.274E-2
13.073	-5.604E-2	-3.708E-2
13.107	-4.749E-2	-1.644E-2
13.141	-3.788E-2	4.645E-3
13.175	-3.361E-2	2.119E-2
13.209	-1.611E-2	4.344E-2
13.243	-2.222E-2	5.829E-2
13.277	-1.581E-2	7.873E-2
13.311	-2.117E-3	9.134E-2
13.345	3.963E-3	0.106
13.379	8.390E-3	0.116
13.413	1.264E-2	0.122
