质量_A
t	x	y	v_{x}	v_{y}	v
1.900000000E0	4.502455242E-2	-2.609178959E-3	3.553775017E-2	9.472456643E-3	3.677851440E-2
1.933333333E0	3.905500837E-2	-2.768460849E-3	8.107236976E-2	1.621816173E-1	1.813163151E-1
1.966666667E0	5.042937707E-2	8.202928858E-3	2.870434451E-1	1.202672350E-1	3.112204158E-1
2.000000000E0	5.819123804E-2	5.249354820E-3	1.211346637E-1	2.217773064E-1	2.527029489E-1
2.033333333E0	5.850502132E-2	2.298808262E-2	7.560156731E-2	3.875164990E-1	3.948222815E-1
2.066666667E0	6.323134253E-2	3.108378809E-2	1.965969497E-1	1.516488170E-1	2.482895977E-1
2.100000000E0	7.161148464E-2	3.309800375E-2	2.285057250E-2	7.104894709E-2	7.463311293E-2
2.133333333E0	6.475471403E-2	3.582038456E-2	-1.050890085E-1	6.670476260E-2	1.244717842E-1
2.166666667E0	6.460555073E-2	3.754498793E-2	-3.910124896E-2	-5.576487996E-2	6.810748496E-2
2.200000000E0	6.214796410E-2	3.210272590E-2	-2.037290696E-2	-1.780045890E-1	1.791666516E-1
2.233333333E0	6.324735694E-2	2.567801533E-2	-6.309594397E-2	-3.022563658E-1	3.087717746E-1
2.266666667E0	5.794156784E-2	1.195230151E-2	-1.594183830E-1	-3.191612329E-1	3.567605828E-1
2.300000000E0	5.261946473E-2	4.400599797E-3	-1.010594369E-1	-2.373752103E-1	2.579922484E-1
2.333333333E0	5.120427204E-2	-3.872712507E-3	-5.840351932E-2	-2.427049898E-1	2.496330970E-1
2.366666667E0	4.872589678E-2	-1.177973286E-2	2.662355852E-2	-2.186627639E-1	2.202775934E-1
2.400000000E0	5.297917594E-2	-1.845023010E-2	5.134533590E-2	-1.300919728E-1	1.398580170E-1
2.433333333E0	5.214891917E-2	-2.045253104E-2	-2.104283359E-1	-1.316003869E-1	2.481909474E-1
2.466666667E0	3.895062022E-2	-2.722358923E-2	-1.749738817E-1	-1.491577638E-1	2.299215035E-1
2.500000000E0	4.048399372E-2	-3.039638196E-2			
2.533333333E0					
2.566666667E0	3.455387508E-2	-2.762669369E-2			
2.600000000E0	3.345936865E-2	-3.473467327E-2	-4.664383255E-2	-1.534460298E-1	1.603787117E-1
2.633333333E0	3.144428624E-2	-3.785642900E-2	-5.462761084E-2	-9.774670211E-2	1.119758619E-1
2.666666667E0	2.981752792E-2	-4.125112008E-2	-5.216455478E-2	-1.020582106E-1	1.146168361E-1
2.700000000E0	2.796664926E-2	-4.466030971E-2	-6.141452374E-2	-8.871713908E-2	1.079002989E-1
2.733333333E0	2.572322634E-2	-4.716559602E-2	-2.629003312E-1	1.865044541E-3	2.629069465E-1
2.766666667E0	1.043996051E-2	-4.453597341E-2	-1.175259528E-1	-3.133090709E-2	1.216304868E-1
2.800000000E0	1.788816282E-2	-4.925432316E-2	1.880168959E-1	8.153651962E-2	2.049354952E-1
2.833333333E0	2.297442024E-2	-3.910020543E-2	8.623202305E-2	2.018065441E-1	2.194580667E-1
2.866666667E0	2.363696436E-2	-3.580055355E-2	2.830795996E-2	1.083286990E-1	1.119662790E-1
2.900000000E0	2.486161757E-2	-3.187829216E-2	-2.824566028E-2	5.357551443E-3	2.874927272E-2
2.933333333E0	2.175392034E-2	-3.544338346E-2	-1.064940948E-1	1.074929100E-1	1.513133104E-1
2.966666667E0	1.776201125E-2	-2.471209817E-2	-6.554926586E-2	2.133173798E-1	2.231614008E-1
3.000000000E0	1.738396929E-2	-2.122222480E-2	5.881742309E-2	1.232534421E-1	1.365682988E-1
3.033333333E0	2.168317279E-2	-1.649520203E-2	1.245939642E-1	1.410630813E-1	1.882085248E-1
3.066666667E0	2.569023356E-2	-1.181801938E-2	2.870329919E-1	2.790249687E-1	4.003034743E-1
3.100000000E0	4.081870558E-2	2.106462552E-3	1.445638836E-1	2.228708089E-1	2.656503602E-1
3.133333333E0	3.532782580E-2	3.040034543E-3	6.482993893E-2	7.638051337E-2	1.001843491E-1
3.166666667E0	4.514070151E-2	7.198496776E-3	3.852365704E-1	2.968483595E-1	4.863395560E-1
3.200000000E0	6.101026383E-2	2.282992518E-2	3.625463864E-1	1.672440488E-1	3.992623876E-1
3.233333333E0	6.931046061E-2	1.834810003E-2	1.051861456E-2	7.582616843E-2	7.655226366E-2
3.266666667E0	6.171150480E-2	2.788500307E-2	-1.345211200E-1	2.137753016E-1	2.525783270E-1
3.300000000E0	6.034238595E-2	3.259978680E-2	-3.836693412E-2	6.234675000E-2	7.320613956E-2
3.333333333E0	5.915370919E-2	3.204145307E-2	5.025171978E-2	4.459417511E-2	6.718538379E-2
3.366666667E0	6.369250060E-2	3.557273181E-2	4.527775585E-2	-2.525774512E-1	2.566036711E-1
3.400000000E0	6.217222625E-2	1.520295633E-2	-9.122082722E-2	-2.009444768E-1	2.206805883E-1
3.433333333E0	5.761111212E-2	2.217643335E-2	-3.071329115E-1	-5.404952952E-2	3.118524924E-1
3.466666667E0	4.169669881E-2	1.159965436E-2	-3.004209469E-1	-2.808083941E-1	4.112251203E-1
3.500000000E0	3.758304899E-2	3.455873747E-3	4.989070322E-2	-8.164245091E-2	9.567952790E-2
3.533333333E0	4.502274569E-2	6.156824298E-3	-9.208650939E-3	-1.988730201E-2	2.191583978E-2
3.566666667E0	3.696913893E-2	2.130053614E-3	-1.306519419E-1	-2.746451073E-1	3.041379043E-1
3.600000000E0	3.631261623E-2	-1.215284952E-2	8.707411790E-2	-2.305498045E-1	2.464449520E-1
3.633333333E0	4.277408012E-2	-1.323993335E-2	-1.171339726E-1	1.639438576E-1	2.014893445E-1
3.666666667E0	2.850368473E-2	-1.223259015E-3	-2.130840883E-1	1.774359136E-1	2.772874540E-1
3.700000000E0	2.856847423E-2	-1.410872443E-3	1.941699314E-1	-1.934089273E-1	2.740601675E-1
3.733333333E0	4.144834682E-2	-1.411718750E-2	1.555918635E-1	-2.143548636E-1	2.648713566E-1
3.766666667E0	3.894126513E-2	-1.570119668E-2	-2.788984204E-2	2.324707031E-2	3.630798214E-2
3.800000000E0	3.958902402E-2	-1.256738281E-2	-7.677757491E-2	2.507979293E-1	2.622868608E-1
3.833333333E0	3.382276014E-2	1.018665269E-3	4.276146436E-2	1.910443040E-1	1.957714712E-1
3.866666667E0	4.243978831E-2	1.689041201E-4	1.787742003E-1	5.532913413E-3	1.788597994E-1
3.900000000E0	4.574104016E-2	1.387526163E-3	9.272257448E-2	6.379131469E-2	1.125469131E-1
3.933333333E0	4.862129328E-2	4.421658433E-3	1.732164741E-1	9.295472191E-3	1.734657105E-1
3.966666667E0	5.728880510E-2	2.007224309E-3	1.672073350E-1	1.843267667E-1	2.488667310E-1
4.000000000E0	5.976844894E-2	1.671010954E-2	8.635539432E-2	2.136914009E-1	2.304805175E-1
4.033333333E0	6.304583139E-2	1.625331770E-2	-6.119270100E-2	1.007044073E-1	1.178385518E-1
4.066666667E0	5.568893554E-2	2.342373670E-2	1.422048770E-1	2.125013649E-1	2.556932872E-1
4.100000000E0	7.252615652E-2	3.042007536E-2	2.670931219E-1	4.900855058E-2	2.715521567E-1
4.133333333E0	7.349514367E-2	2.669097340E-2	-1.482840314E-1	1.205849155E-1	1.911252882E-1
4.166666667E0	6.264055443E-2	3.845906973E-2	-2.423468536E-1	5.610506136E-2	2.487564579E-1
4.200000000E0	5.733868676E-2	3.043131082E-2	-1.438376505E-1	-1.878079592E-1	2.365609842E-1
4.233333333E0	5.305137773E-2	2.593853911E-2	-6.578064654E-2	-1.939611713E-1	2.048121809E-1
4.266666667E0	5.295331033E-2	1.750056607E-2	-1.970480855E-1	-3.691433662E-1	4.184432732E-1
4.300000000E0	3.991483870E-2	1.328981361E-3	-1.682264621E-1	-2.779976640E-1	3.249351378E-1
4.333333333E0	4.173821285E-2	-1.032611526E-3	2.482964577E-3	-4.116521527E-2	4.124002984E-2
4.366666667E0	4.008036967E-2	-1.415366324E-3	-6.316527821E-2	-5.593350372E-2	8.437066557E-2
4.400000000E0	3.752719430E-2	-4.761511774E-3	-5.346176331E-2	-1.156918853E-1	1.274471359E-1
4.433333333E0	3.651625211E-2	-9.128158677E-3	-4.268149228E-2	-4.017959965E-2	5.861834193E-2
4.466666667E0	3.468176149E-2	-7.440151751E-3	-1.192260801E-1	-1.675825374E-1	2.056666356E-1
4.500000000E0	2.856784677E-2	-2.030032783E-2	-9.538291177E-2	-2.306043133E-1	2.495520971E-1
4.533333333E0	2.832290070E-2	-2.281377263E-2	4.531496681E-3	-8.307845941E-3	9.463338013E-3
4.566666667E0	2.886994655E-2	-2.085418423E-2	3.845180608E-2	-7.599676270E-2	8.517070701E-2
4.600000000E0	3.088635444E-2	-2.788022348E-2	4.659506670E-2	-6.156357290E-4	4.659913356E-2
4.633333333E0	3.197628433E-2	-2.089522661E-2	2.055175745E-2	-4.317809614E-2	4.781968968E-2
4.666666667E0	3.225647160E-2	-3.075876322E-2	8.721670841E-2	-1.900821196E-1	2.091362389E-1
4.700000000E0	3.779073156E-2	-3.356736792E-2	1.552738552E-1	-4.308065996E-2	1.611394221E-1
4.733333333E0	4.260806195E-2	-3.363080722E-2	1.068081040E-1	6.455003916E-2	1.247985522E-1
4.766666667E0	4.491127183E-2	-2.926403197E-2	8.147829519E-3	1.713055047E-1	1.714991635E-1
4.800000000E0	4.315125058E-2	-2.221044024E-2	-5.649584146E-2	-7.584806846E-2	9.457647483E-2
4.833333333E0	4.114488240E-2	-3.432056987E-2	-3.051961644E-2	-1.821149531E-1	1.846545508E-1
4.866666667E0	4.111660949E-2	-3.435143711E-2	4.887957101E-2	2.489544373E-1	2.537075567E-1
4.900000000E0	4.440352046E-2	-1.772360739E-2	2.666355806E-1	9.614624150E-1	9.977497222E-1
4.933333333E0	5.889231486E-2	2.974605722E-2	-1.786599267E-2	5.409629829E-2	5.697019556E-2
4.966666667E0	4.321245429E-2	-1.411718750E-2	-1.920649039E-1	-6.579486708E-1	6.854089150E-1
5.000000000E0	4.608798793E-2	-1.411718750E-2	3.396855319E-2	1.040245406E-1	1.094301953E-1
5.033333333E0	4.547702450E-2	-7.182218128E-3	-1.420516302E-2	-3.613959314E-2	3.883113247E-2
5.066666667E0	4.514097707E-2	-1.652649371E-2	2.381168169E-2	-4.587049526E-2	5.168267138E-2
5.100000000E0	4.706446995E-2	-1.024025115E-2	-7.195711350E-2	2.103042705E-1	2.222739580E-1
5.133333333E0	4.034383617E-2	-2.506209006E-3	-7.337971317E-2	3.027503796E-1	3.115162510E-1
5.166666667E0	4.217248907E-2	9.943107492E-3	1.935009346E-1	2.422586185E-1	3.100513666E-1
5.200000000E0	5.324389847E-2	1.364436556E-2	1.817616426E-1	1.164944899E-1	2.158894646E-1
5.233333333E0	5.428993191E-2	1.770940682E-2	-2.978737417E-2	1.842511479E-1	1.866434385E-1
5.266666667E0	5.125807353E-2	2.592777542E-2	2.253708925E-1	1.096947919E-1	2.506491303E-1
5.300000000E0	6.931465807E-2	2.502239295E-2	3.351484576E-1	-2.697812193E-2	3.362325202E-1
5.333333333E0	7.360130403E-2	2.412923396E-2	1.123877820E-1	-5.223944773E-3	1.125091247E-1
5.366666667E0	7.680717688E-2	2.467412996E-2	4.762301714E-2	-9.932028583E-2	1.101474963E-1
5.400000000E0	7.677617184E-2	1.750788157E-2	-1.164456604E-1	-2.449934580E-1	2.712588916E-1
5.433333333E0	6.904413285E-2	8.341232763E-3	-1.674183955E-1	-1.409617998E-1	2.188587402E-1
5.466666667E0	6.561494547E-2	8.110428251E-3	-1.837748600E-1	-1.516701240E-1	2.382793018E-1
5.500000000E0	5.679247552E-2	-1.770108838E-3	-2.483958247E-1	-1.711684830E-1	3.016606293E-1
5.533333333E0	4.905522383E-2	-3.300803945E-3	-1.741150641E-1	-1.017336535E-1	2.016576103E-1
5.566666667E0	4.518480458E-2	-8.552352402E-3	-1.164231910E-1	-1.161923193E-1	1.644840857E-1
5.600000000E0	4.129367776E-2	-1.104695857E-2			
5.633333333E0		-1.147273051E-2		1.554504723E-1	
5.666666667E0	2.765625000E-2	-6.835937500E-4			
5.700000000E0	2.914451949E-2	-4.498156966E-3	8.877796482E-2	3.222841592E-2	9.444679894E-2
5.733333333E0	3.357478099E-2	1.464967312E-3			
5.766666667E0		-1.600983186E-3		-8.416298781E-2	
5.800000000E0	3.620237726E-2	-4.145898543E-3			
5.833333333E0	2.418380275E-2	-5.584162880E-3	-1.374361019E-1	3.175497833E-2	1.410569415E-1
5.866666667E0	2.703997047E-2	-2.028899987E-3	1.549986941E-1	2.496208598E-2	1.569958627E-1
5.900000000E0	3.451704903E-2	-3.920023815E-3	3.266257142E-1	-8.252465126E-2	3.368897078E-1
5.933333333E0	4.881501808E-2	-7.530543405E-3	3.122053864E-1	-5.495941580E-2	3.170059001E-1
5.966666667E0	5.533074145E-2	-7.583984868E-3	1.905537082E-1	4.805044709E-2	1.965186026E-1
6.000000000E0	6.151859862E-2	-4.327180265E-3	-2.119606933E-2	3.222441560E-1	3.229405045E-1
6.033333333E0	5.391767016E-2	1.389895887E-2	-3.566489777E-2	2.820872023E-1	2.843328589E-1
6.066666667E0	5.914093877E-2	1.447863322E-2	1.570882851E-1	-2.390433352E-2	1.588966535E-1
6.100000000E0	6.439022250E-2	1.230533663E-2	1.956279361E-1	1.610590960E-1	2.533975568E-1
6.133333333E0	7.218280118E-2	2.521590629E-2	8.222351400E-2	1.598460304E-1	1.797538864E-1
6.166666667E0	6.987179010E-2	2.296173866E-2	-1.155279848E-1	1.601159395E-1	1.974432307E-1
6.200000000E0	6.448093552E-2	3.589030226E-2	-1.537692608E-1	2.165751555E-1	2.656120923E-1
6.233333333E0	5.962050605E-2	3.740008236E-2	-3.269222575E-1	-1.257645008E-1	3.502782781E-1
6.266666667E0	4.268611836E-2	2.750600221E-2	-2.234176086E-1	-8.205592286E-2	2.380096686E-1
