质量_A
t	x	y	v	v_{y}	v_{x}
0.000000000E0	-5.177013675E-3	-6.974587867E-3			
3.333333333E-2	-5.177013675E-3	-6.974587867E-3	0.000000000E0	-0.000000000E0	0.000000000E0
6.666666667E-2	-5.177013675E-3	-6.974587867E-3	4.999266685E-2	4.961304772E-2	-6.149165430E-3
1.000000000E-1	-5.586958037E-3	-3.667051353E-3	4.999914730E-2	4.961304772E-2	-6.201630965E-3
1.333333333E-1	-5.590455739E-3	-3.667051353E-3	1.788532902E-1	-1.488391431E-1	9.917362990E-2
1.666666667E-1	1.024617290E-3	-1.358966090E-2	1.855161514E-1	-1.462827562E-1	1.140946873E-1
2.000000000E-1	2.015856750E-3	-1.341923510E-2	4.998939114E-2	4.884523975E-4	4.998700472E-2
2.333333333E-1	4.357084271E-3	-1.355709740E-2	1.367363795E-1	-2.736291084E-2	1.339705512E-1
2.666666667E-1	1.094722683E-2	-1.524342915E-2	1.017993805E-1	2.431807146E-2	9.885213843E-2
3.000000000E-1	1.094722683E-2	-1.193589264E-2	1.157730063E-1	-1.550407741E-2	1.147301728E-1
3.333333333E-1	1.859590502E-2	-1.627703431E-2	2.755541733E-1	-8.992364899E-2	2.604685005E-1
3.666666667E-1	2.831179353E-2	-1.793080257E-2	2.966880231E-1	9.302446447E-3	2.965421514E-1
4.000000000E-1	3.836538178E-2	-1.565687122E-2	4.667578006E-1	-1.791377538E-1	4.310133520E-1
4.333333333E-1	5.704601700E-2	-2.987331949E-2	4.489609753E-1	-1.178309883E-1	4.332225936E-1
4.666666667E-1	6.724688802E-2	-2.351227044E-2	3.523244237E-1	1.197725795E-1	3.313412572E-1
5.000000000E-1	7.913543415E-2	-2.188848086E-2	3.539205461E-1	2.790733934E-2	3.528185558E-1
5.333333333E-1	9.076812508E-2	-2.165178115E-2	3.750787631E-1	-2.464784136E-3	3.750706645E-1
5.666666667E-1	1.041401451E-1	-2.205279980E-2	3.252491270E-1	-4.835737735E-4	3.252487675E-1
6.000000000E-1	1.124513762E-1	-2.168401940E-2	1.667423357E-1	8.548041281E-2	1.431646099E-1
6.333333333E-1	1.136844524E-1	-1.635410561E-2	1.165363994E-1	9.467891105E-2	6.794583267E-2
6.666666667E-1	1.169810984E-1	-1.537209200E-2	3.548377976E-2	3.303967739E-2	1.294134243E-2
7.000000000E-1	1.145472086E-1	-1.415146045E-2	2.885810742E-2	8.264597944E-3	-2.764935415E-2
7.333333333E-1	1.151378081E-1	-1.482111880E-2			
7.666666667E-1		-1.333022600E-2		2.692650903E-1	
8.000000000E-1	1.003833783E-1	3.129887215E-3			
8.333333333E-1	8.970533553E-2	6.921644758E-3	2.660776049E-1	-3.487705572E-2	-2.637818849E-1
8.666666667E-1	8.279791927E-2	8.047501671E-4	4.133344690E-1	-3.810461426E-2	-4.115743209E-1
9.000000000E-1	6.226704747E-2	4.381337141E-3	5.129320502E-1	9.292505608E-2	-5.044444687E-1
9.333333333E-1	4.916828802E-2	6.999753906E-3	3.404000071E-1	2.188578995E-1	-2.607170587E-1
9.666666667E-1	4.488591023E-2	1.897186377E-2	5.147850122E-1	6.554112847E-2	-5.105957004E-1
1.000000000E0	1.512857466E-2	1.136916247E-2	4.435132117E-1	-2.581060827E-1	-3.606732857E-1
1.033333333E0	2.084102451E-2	1.764791595E-3	1.736738858E-1	-1.736694517E-1	-1.241025790E-3
1.066666667E0	1.504583960E-2	-2.088009763E-4	9.473287063E-2	6.669001856E-2	-6.728118758E-2
1.100000000E0	1.635561201E-2	6.210792833E-3	2.007666141E-1	-1.221825235E-2	-2.003944801E-1
1.133333333E0	1.686207597E-3	-1.023351133E-3	1.159325736E-1	-1.159191818E-1	-1.762078094E-3
1.166666667E0	1.623814013E-2	-1.517152619E-3	1.794927297E-1	-7.407022280E-3	1.793398340E-1
1.200000000E0	1.364219653E-2	-1.517152618E-3	2.653823174E-1	-2.458068172E-1	-1.000339093E-1
1.233333333E0	9.569212847E-3	-1.790427377E-2	3.592657715E-1	-3.589339806E-1	1.543671517E-2
1.266666667E0	1.467131087E-2	-2.544608466E-2	3.081283627E-1	-2.185873428E-1	2.171696606E-1
1.300000000E0	2.404719022E-2	-3.247676329E-2	5.552380304E-1	-1.224445787E-1	5.415686434E-1
1.333333333E0	5.077588710E-2	-3.360905657E-2	5.070088984E-1	-8.581405882E-2	4.996938767E-1
1.366666667E0	5.736011534E-2	-3.819770054E-2	3.094144802E-1	-1.921588278E-1	2.425124852E-1
1.400000000E0	6.694338611E-2	-4.641964509E-2	4.744946665E-1	-3.585195060E-1	3.108198069E-1
1.433333333E0	7.808143580E-2	-6.209900094E-2	4.236450510E-1	-3.250316337E-1	2.717159663E-1
1.466666667E0	8.505778387E-2	-6.808842067E-2	2.523428472E-1	-9.130758824E-2	2.352442069E-1
1.500000000E0	9.376438293E-2	-6.818617349E-2	2.744365748E-1	7.308536443E-2	2.645259215E-1
1.533333333E0	1.026928453E-1	-6.321606304E-2	4.026873707E-1	3.467391397E-1	2.047659336E-1
1.566666667E0	1.074154452E-1	-4.507023084E-2	4.265593724E-1	4.092112548E-1	1.204119893E-1
1.600000000E0	1.107203112E-1	-3.593531272E-2	1.648328036E-1	8.109114658E-2	-1.435063730E-1
1.633333333E0	9.784835363E-2	-3.966415440E-2	1.947447472E-1	-1.968213255E-2	-1.937475941E-1
1.666666667E0	9.780380498E-2	-3.724745489E-2	1.092668628E-1	5.615174190E-2	9.373488780E-2
1.700000000E0	1.040973462E-1	-3.592070494E-2	2.233147915E-1	2.056636213E-1	-8.701707277E-2
1.733333333E0	9.200266679E-2	-2.353654681E-2	4.600149727E-1	3.337253345E-1	-3.166088695E-1
1.766666667E0	8.299008819E-2	-1.367234931E-2	5.098428310E-1	3.822136315E-1	-3.374202901E-1
1.800000000E0	6.950798078E-2	1.944361962E-3	4.991541673E-1	3.859914461E-1	-3.164893146E-1
1.833333333E0	6.189080054E-2	1.206041376E-2	3.984034729E-1	2.778917205E-1	-2.854847087E-1
1.866666667E0	5.047566687E-2	2.047047666E-2	3.831941389E-1	2.356995907E-1	-3.021315128E-1
1.900000000E0	4.174869969E-2	2.777371981E-2	2.922090643E-1	1.714275697E-1	-2.366404987E-1
1.933333333E0	3.469963362E-2	3.189898131E-2	2.114111009E-1	8.605363078E-2	-1.931047028E-1
1.966666667E0	2.887505284E-2	3.351062853E-2	1.558592610E-1	9.518210715E-3	-1.555683544E-1
2.000000000E0	2.432840999E-2	3.253352869E-2	1.313950016E-1	-7.095323296E-2	-1.105906198E-1
2.033333333E0	2.150234485E-2	2.878041300E-2	1.577445061E-1	-1.466938902E-1	-5.800199808E-2
2.066666667E0	2.046161012E-2	2.275393601E-2	2.866433706E-1	-9.095152449E-2	2.718312751E-1
2.100000000E0	3.962442986E-2	2.271697804E-2	3.593139088E-1	-1.410919534E-1	3.304535455E-1
2.133333333E0	4.249184649E-2	1.334780578E-2	3.187902111E-1	-2.997083124E-1	1.086375909E-1
2.166666667E0	4.686693592E-2	2.736423874E-3	3.614329254E-1	-3.397199190E-1	1.233861264E-1
2.200000000E0	5.071758825E-2	-9.300188817E-3	4.903442660E-1	-4.594739930E-1	1.712341934E-1
2.233333333E0	5.828254881E-2	-2.789517566E-2	4.735054387E-1	-4.484257528E-1	1.520583594E-1
2.266666667E0	6.085481221E-2	-3.919523900E-2	2.601454783E-1	-2.542228996E-1	-5.519408670E-2
2.300000000E0	5.460294303E-2	-4.484336897E-2	3.641142166E-1	-3.482616220E-1	1.062685529E-1
2.333333333E0	6.793938240E-2	-6.241268047E-2	3.139454575E-1	-2.293440956E-1	2.143899160E-1
2.366666667E0	6.889560410E-2	-6.013297534E-2	9.071973867E-2	-3.933338962E-2	8.174934523E-2
2.400000000E0	7.338933875E-2	-6.503490645E-2	1.758705984E-1	-1.188302567E-1	1.296527574E-1
2.433333333E0	7.753912126E-2	-6.805499245E-2	1.187599189E-1	-6.164416831E-2	1.015082009E-1
2.466666667E0	8.015655214E-2	-6.914451767E-2	2.182758163E-1	6.961512734E-2	2.068769345E-1
2.500000000E0	9.133091689E-2	-6.341398396E-2	1.515334269E-1	1.100514216E-1	1.041684408E-1
2.533333333E0	8.710111486E-2	-6.180775623E-2	1.330184181E-1	8.028277766E-2	-1.060593002E-1
2.566666667E0	8.426029688E-2	-5.806179879E-2	1.301990560E-1	1.194940391E-1	5.170076228E-2
2.600000000E0	9.054783235E-2	-5.384148695E-2	2.095942498E-1	2.048257987E-1	4.445381538E-2
2.633333333E0	8.722388457E-2	-4.440674554E-2	3.998498957E-1	3.178105193E-1	-2.426446226E-1
2.666666667E0	7.437152417E-2	-3.265411900E-2	3.960089042E-1	3.664444526E-1	-1.501383209E-1
2.700000000E0	7.721466318E-2	-1.997711537E-2	3.703174678E-1	3.693143920E-1	-2.723796747E-2
2.733333333E0	7.255565967E-2	-8.033159540E-3	1.706741789E-1	1.102084173E-1	-1.303218328E-1
2.766666667E0	6.852654099E-2	-1.262988755E-2	4.660572596E-1	2.458866049E-1	-3.959155803E-1
2.800000000E0	4.616128765E-2	8.359280786E-3	9.891361282E-2	5.031607073E-2	8.515982520E-2
2.833333333E0	7.420386267E-2	-9.275482834E-3	2.958375097E-1	2.643573667E-1	1.327968930E-1
2.866666667E0	5.501441385E-2	2.598310523E-2	7.954705204E-1	5.868610036E-1	-5.369986139E-1
2.900000000E0	3.840395508E-2	2.984858407E-2	3.911241859E-1	3.323120111E-1	-2.062688928E-1
2.933333333E0	4.126315434E-2	4.813723930E-2	1.256057008E-1	1.254369215E-1	6.509287032E-3
2.966666667E0	3.883790755E-2	3.821104550E-2	1.826379227E-1	-1.824511041E-1	-8.258658478E-3
3.000000000E0	4.071257710E-2	3.597383237E-2	3.636050615E-1	-2.508755485E-1	2.631921351E-1
3.033333333E0	5.638404989E-2	2.148600894E-2	2.625044225E-1	-2.338447366E-1	1.192694891E-1
3.066666667E0	4.866387638E-2	2.038418326E-2	2.587815402E-1	-2.551533585E-1	4.318158398E-2
3.100000000E0	5.926282215E-2	4.475785040E-3	3.284754795E-1	-2.289859594E-1	2.355028048E-1
3.133333333E0	6.436406336E-2	5.118452638E-3			
3.200000000E0	7.670349614E-2	-1.195860032E-2			
3.233333333E0	9.112981358E-2	-2.187441025E-2	3.798064294E-1	-3.628621699E-1	1.121782933E-1
3.266666667E0	8.418204902E-2	-3.614941165E-2	4.789976449E-1	-4.769173043E-1	-4.459404310E-2
3.300000000E0	8.815687737E-2	-5.366889720E-2	3.997302002E-1	-3.913104992E-1	8.161082108E-2
3.333333333E0	8.962277042E-2	-6.223677826E-2	1.776296419E-1	-1.784462491E-2	1.767310359E-1
