质量_A
t	x	y	v	v_{y}	v_{x}
1.966666667E0	2.602712988E-2	-1.423115809E-2	4.547999455E-1	-3.388501844E-1	3.033538246E-1
2.000000000E0	4.147226669E-2	-3.368379020E-2	5.791780382E-1	-4.625126887E-1	3.486104024E-1
2.033333333E0	4.926782337E-2	-4.506533734E-2	4.725227693E-1	-4.667650078E-1	7.354043069E-2
2.066666667E0	4.637496207E-2	-6.480145739E-2	3.830741249E-1	-3.798386989E-1	4.968247186E-2
2.100000000E0	5.257998816E-2	-7.038791726E-2	2.550697687E-1	-1.331395781E-1	2.175647942E-1
2.133333333E0	6.087928168E-2	-7.367742926E-2	1.084359228E-1	-4.644903805E-2	9.798385696E-2
2.166666667E0	5.911224530E-2	-7.348451980E-2	4.209883622E-2	-1.924279995E-3	-4.205483512E-2
2.200000000E0	5.807562601E-2	-7.380571459E-2	1.337860784E-2	-7.805252652E-3	1.086578018E-2
2.233333333E0	5.983663064E-2	-7.400486998E-2	9.517402489E-2	8.737528489E-2	-3.773134776E-2
2.266666667E0	5.556020282E-2	-6.798069560E-2	2.801356712E-1	2.287652719E-1	-1.616862537E-1
2.300000000E0	4.905754706E-2	-5.875385185E-2	3.902796237E-1	3.193287425E-1	-2.243821270E-1
2.333333333E0	4.060139435E-2	-4.669211277E-2	4.648445106E-1	3.815219520E-1	-2.655586926E-1
2.366666667E0	3.135363422E-2	-3.331905505E-2	4.159048678E-1	3.569995053E-1	-2.133734103E-1
2.400000000E0	2.637650033E-2	-2.289214574E-2	3.471762147E-1	3.041375956E-1	-1.674265422E-1
2.433333333E0	2.019186474E-2	-1.304321535E-2	4.686543346E-1	4.016203949E-1	-2.415324902E-1
2.466666667E0	1.027433432E-2	3.882547248E-3	3.383627398E-1	2.851320665E-1	-1.821786165E-1
2.500000000E0	8.046623641E-3	5.965589087E-3	4.372974810E-2	3.906344370E-2	1.965548868E-2
2.533333333E0	1.158470023E-2	6.486776828E-3	8.569870336E-2	-4.154096813E-3	8.559796281E-2
2.566666667E0	1.375315449E-2	5.688649300E-3	6.021143204E-2	-1.600955628E-2	5.804404066E-2
2.600000000E0	1.545430295E-2	5.419473076E-3	1.477741704E-1	-1.041727401E-1	1.048105226E-1
2.633333333E0	2.074052267E-2	-1.256200041E-3	2.183295346E-1	-2.179279932E-1	1.323538688E-2
2.666666667E0	1.633666207E-2	-9.109059801E-3	3.329708669E-1	-2.816154197E-1	1.776579679E-1
2.700000000E0	3.258438720E-2	-2.003056135E-2	3.345586593E-1	-2.253951316E-1	2.472378029E-1
2.733333333E0	3.281918226E-2	-2.413540190E-2	2.964215841E-1	-2.737530104E-1	1.136883672E-1
2.766666667E0	4.016361168E-2	-3.828076205E-2	5.205807537E-1	-4.436123538E-1	2.724195307E-1
2.800000000E0	5.098048431E-2	-5.370955882E-2	3.638629441E-1	-3.613382108E-1	4.278947843E-2
2.833333333E0	4.301624358E-2	-6.236997610E-2	2.939580386E-1	-2.844995061E-1	7.396863873E-2
2.866666667E0	5.591172689E-2	-7.267619256E-2	2.793039862E-1	-1.827555757E-1	2.112134376E-1
2.900000000E0	5.709713942E-2	-7.455368115E-2	4.249936891E-2	2.637042423E-2	-3.332862259E-2
2.933333333E0	5.368981872E-2	-7.091816428E-2	1.103082112E-1	-6.019231256E-3	-1.101438619E-1
2.966666667E0	4.975421529E-2	-7.495496324E-2	1.532462193E-1	1.020816093E-1	-1.142967575E-1
3.000000000E0	4.607003488E-2	-6.411272366E-2	2.570955271E-1	2.406854294E-1	-9.038049634E-2
3.033333333E0	4.372884887E-2	-5.890926794E-2	3.628724116E-1	2.796160647E-1	-2.312817404E-1
