质量_A
t	x	y	v	v_{y}	v_{x}
2.000000000E0	8.633339317E-2	-1.185543449E-2	3.627519760E-1	4.955484395E-2	-3.593512398E-1
2.033333333E0	7.323692388E-2	-1.023642844E-2	5.697910767E-1	-1.063357142E-1	-5.597808383E-1
2.066666667E0	4.901467061E-2	-1.894448210E-2	6.302617389E-1	-8.323204732E-2	-6.247417753E-1
2.100000000E0	3.158747219E-2	-1.578523159E-2	6.462639575E-1	1.908295025E-1	-6.174473287E-1
2.133333333E0	7.851515367E-3	-6.222515269E-3	6.014350638E-1	1.313039279E-1	-5.869270947E-1
2.166666667E0	-7.541000793E-3	-7.031636401E-3			-5.264615201E-1
2.200000000E0	-2.724591930E-2				-4.079683515E-1
2.233333333E0	-3.473889089E-2	-1.256757495E-2			-2.834341424E-1
2.266666667E0	-4.614152880E-2	-1.343453624E-2	2.249698523E-1	-3.247992470E-2	-2.226128679E-1
2.300000000E0	-4.957974875E-2	-1.473290326E-2	9.913252799E-2	-9.913241693E-2	1.483934951E-4
2.333333333E0	-4.613163590E-2	-2.004336404E-2			2.380102712E-1
2.366666667E0	-3.371239734E-2				2.370604910E-1
2.400000000E0	-3.032760316E-2	-3.021272588E-2			1.222104665E-1
2.433333333E0	-2.556503291E-2	-3.136915996E-2	2.658417523E-1	-1.167027928E-1	2.388562233E-1
2.466666667E0	-1.440385494E-2	-3.799291206E-2	4.936313896E-1	-2.169853845E-1	4.433839100E-1
2.500000000E0	3.993894426E-3	-4.583485226E-2			
2.533333333E0					
2.566666667E0	4.734682593E-2	-8.692189747E-3			
2.600000000E0	4.735312898E-2	-8.692189747E-3	2.687348668E-4	6.758568228E-15	2.687348668E-4
2.633333333E0	4.736474159E-2	-8.692189747E-3	2.794545449E-4	4.055140937E-15	2.794545449E-4
2.666666667E0	4.737175928E-2	-8.692189747E-3	1.818866208E-3	1.810086331E-3	-1.784986136E-4
2.700000000E0	4.735284168E-2	-8.571517325E-3	1.672226085E-3	1.657774177E-3	-2.193737847E-4
2.733333333E0	4.735713436E-2	-8.581671469E-3	3.390763816E-5	-1.404883518E-5	-3.086030065E-5
2.766666667E0	4.735078433E-2	-8.572453914E-3	1.196690175E-4	1.190591729E-4	-1.206594739E-5
2.800000000E0	4.735632997E-2	-8.573734190E-3	1.673121500E-4	-8.588492679E-5	1.435866808E-4
2.833333333E0	4.736035677E-2	-8.578179576E-3	2.475383623E-4	-7.148157866E-6	2.474351322E-4
2.866666667E0	4.737282564E-2	-8.574210734E-3	2.198697745E-1	1.393162649E-1	1.700990771E-1
2.900000000E0	5.870029525E-2	7.095714205E-4	1.117506349E-3	2.523375710E-4	1.088644198E-3
2.933333333E0	4.744540192E-2	-8.557388229E-3	2.197412663E-1	-1.393906851E-1	-1.698718959E-1
2.966666667E0	4.737550219E-2	-8.583140921E-3	1.153433908E-3	-4.511076835E-4	-1.061560945E-3
3.000000000E0	4.737463119E-2	-8.587462075E-3	1.711460023E-4	-1.661170845E-4	-4.118335030E-5
3.033333333E0	4.737275663E-2	-8.594215393E-3	1.709100577E-4	-1.468070254E-4	-8.750968581E-5
3.066666667E0	4.736879721E-2	-8.597249210E-3	1.187784730E-4	-3.484459281E-5	-1.135525429E-4
3.100000000E0	4.736518646E-2	-8.596538366E-3	6.632048819E-5	-1.461549011E-5	-6.468998843E-5
3.133333333E0	4.736448455E-2	-8.598223576E-3	6.667135200E-6	4.995842454E-6	4.415002826E-6
3.166666667E0	4.736548080E-2	-8.596205310E-3	1.022902749E-5	-7.865719382E-6	-6.539377803E-6
3.200000000E0	4.736404859E-2	-8.598747957E-3	5.444457315E-5	-4.754834571E-5	-2.652105514E-5
3.233333333E0	4.736371273E-2	-8.599375200E-3	1.230372636E-5	-1.175572827E-5	-3.631051540E-6
3.266666667E0	4.736380652E-2	-8.599531673E-3	1.618281842E-5	-5.808613575E-7	1.617239042E-5
3.300000000E0	4.736479089E-2	-8.599413924E-3	8.280958548E-5	5.386492466E-5	6.289671962E-5
3.333333333E0	4.736799963E-2	-8.595940678E-3	3.256025082E-1	-1.163059533E-1	3.041215523E-1
3.366666667E0	6.763956104E-2	-1.635314415E-2	3.187836516E-1	1.969548045E-2	3.181746447E-1
3.400000000E0	6.857964261E-2	-7.282908647E-3	8.617074477E-1	-8.034175699E-1	-3.115444332E-1
3.433333333E0	4.686993216E-2	-6.991431547E-2	8.388219430E-1	-8.347030187E-1	-8.302483156E-2
3.466666667E0	6.304465384E-2	-6.292977656E-2	3.805677259E-1	1.356428570E-1	3.555739155E-1
3.500000000E0	7.057485986E-2	-6.087145834E-2	2.014843194E-1	1.252342467E-1	1.578363532E-1
3.533333333E0	7.356707739E-2	-5.458082678E-2	5.070846930E-1	4.653950966E-1	2.013511608E-1
3.566666667E0	8.399827057E-2	-2.984511857E-2	5.009889862E-1	4.917170827E-1	9.593891257E-2
