质量_A
t	x	y	v	v_{y}	v_{x}
0.000000000E0	4.703125000E-2	-4.505859375E-2			
3.333333333E-2	4.640625000E-2	-4.568359375E-2	8.290653351E-2	1.304690482E-3	8.289626699E-2
6.666666667E-2	5.255766780E-2	-4.497161438E-2	1.995337231E-1	-4.386276148E-2	1.946529343E-1
1.000000000E-1	5.938311229E-2	-4.860777785E-2	3.132078731E-1	-5.556804172E-2	3.082391352E-1
1.333333333E-1	7.310694348E-2	-4.867615050E-2	3.835185654E-1	9.575047833E-2	3.713735800E-1
1.666666667E-1	8.414135095E-2	-4.222441263E-2	2.965390148E-1	1.874029997E-1	2.298162375E-1
2.000000000E-1	8.842802598E-2	-3.618261719E-2	1.008225257E-1	9.077956860E-2	4.386629240E-2
2.333333333E-1	8.706577045E-2	-3.617244139E-2	4.293210914E-2	1.693324285E-2	-3.945163218E-2
2.666666667E-1	8.579791717E-2	-3.505373433E-2	1.430414688E-1	1.368029294E-1	-4.178301455E-2
3.000000000E-1	8.428023614E-2	-2.705224609E-2	2.441318721E-1	2.006370230E-1	-1.390868649E-1
3.333333333E-1	7.652545951E-2	-2.167793280E-2	3.913603400E-1	2.502172852E-1	-3.009222922E-1
3.666666667E-1	6.421875000E-2	-1.037109375E-2	2.726318568E-1	8.817924585E-2	-2.579778090E-1
4.000000000E-1	5.932693891E-2	-1.579931641E-2	4.282749681E-1	-2.375417476E-1	-3.563612864E-1
4.333333333E-1	4.046133091E-2	-2.620721025E-2	5.720527451E-1	-2.583727383E-1	-5.103801243E-1
4.666666667E-1	2.530159729E-2	-3.302416563E-2	4.784703392E-1	8.234944731E-3	-4.783994682E-1
5.000000000E-1	8.568033027E-3	-2.565821394E-2	1.961976597E-1	5.625146165E-2	-1.879608861E-1
5.333333333E-1	1.277087155E-2	-2.927406818E-2	1.248810628E-1	-1.240384333E-1	-1.448264186E-2
5.666666667E-1	7.602523570E-3	-3.392744283E-2	3.527267310E-1	-3.487239218E-1	-5.298842482E-2
6.000000000E-1	9.238309892E-3	-5.252232963E-2	2.436184118E-1	-2.422119860E-1	2.613970975E-2
6.333333333E-1	9.345170887E-3	-5.007490856E-2	4.035323093E-2	-3.900246521E-2	1.035330643E-2
6.666666667E-1	9.928530321E-3	-5.512249398E-2	2.688573355E-1	-2.391206009E-1	1.229048619E-1
7.000000000E-1	1.753882834E-2	-6.601628195E-2	3.485282190E-1	-2.836548296E-1	2.025138442E-1
7.333333333E-1	2.342945327E-2	-7.403281596E-2	2.747932433E-1	-1.854129895E-1	2.028135841E-1
7.666666667E-1	3.105973395E-2	-7.837714792E-2	1.792098843E-1	-8.417572942E-2	1.582107114E-1
8.000000000E-1	3.397683403E-2	-7.964453125E-2	1.061980951E-1	-5.034263499E-3	1.060787047E-1
8.333333333E-1	3.813164760E-2	-7.871276549E-2	3.343023466E-1	3.340046348E-1	1.410541951E-2
8.666666667E-1	3.491719533E-2	-5.737755560E-2	3.238614523E-1	3.202587740E-1	-4.817216991E-2
9.000000000E-1	3.492016960E-2	-5.736218056E-2	5.062979393E-1	-3.306444451E-1	3.834212491E-1
9.333333333E-1	6.047861194E-2	-7.942051860E-2	6.051143759E-1	-3.135175817E-1	5.175617199E-1
9.666666667E-1	6.942428426E-2	-7.826335267E-2	2.253502462E-1	-3.360189709E-3	2.253251929E-1
1.000000000E0	7.550029147E-2	-7.964453125E-2	1.506437475E-1	6.730482830E-2	1.347723961E-1
1.033333333E0	7.840911067E-2	-7.377636412E-2	2.417908438E-1	2.411294145E-1	1.787225833E-2
1.066666667E0	7.669177536E-2	-6.356923695E-2	2.281463722E-1	2.264926072E-1	-2.742017570E-2
1.100000000E0	7.658109895E-2	-5.867685697E-2	1.340408315E-1	1.751548720E-2	-1.328915055E-1
1.133333333E0	6.783234166E-2	-6.240153780E-2	1.419441019E-1	7.161607040E-2	-1.225531171E-1
1.166666667E0	6.841089115E-2	-5.390245228E-2	3.561071019E-1	3.394843921E-1	-1.075296029E-1
1.200000000E0	6.066370146E-2	-3.976924500E-2	4.250528080E-1	3.841352651E-1	-1.819615007E-1
1.233333333E0	5.628012444E-2	-2.829343461E-2	4.786917503E-1	4.778020438E-1	-2.917188350E-2
1.266666667E0	5.871890923E-2	-7.915775413E-3	5.182887202E-1	5.104507300E-1	-8.979559936E-2
1.300000000E0	5.029375115E-2	5.736614060E-3	2.878152239E-1	8.644364474E-2	-2.745270468E-1
1.333333333E0	4.041710611E-2	-2.152865763E-3	9.929672089E-2	2.488822857E-2	-9.612707661E-2
1.366666667E0	4.388527937E-2	7.395829299E-3	1.236514681E-1	-1.091469921E-1	5.810868859E-2
1.400000000E0	4.429101868E-2	-9.429331903E-3	3.924902169E-1	-3.803021517E-1	-9.705072809E-2
1.433333333E0	3.741523083E-2	-1.795764748E-2	2.168538185E-1	-1.884362363E-1	1.073189797E-1
1.466666667E0	5.144561733E-2	-2.199174766E-2	5.005283215E-1	-3.905469298E-1	3.130522261E-1
1.500000000E0	5.828537924E-2	-4.399410946E-2	3.817296295E-1	-3.142960062E-1	2.166460951E-1
1.533333333E0	6.588869034E-2	-4.294481474E-2	3.442710409E-1	-3.005415706E-1	1.679205584E-1
1.566666667E0	6.948008314E-2	-6.403021417E-2	4.168513772E-1	-4.097679743E-1	7.651978798E-2
1.600000000E0	7.099000954E-2	-7.026267969E-2	1.953693542E-1	-1.290780837E-1	1.466561723E-1
1.633333333E0	7.925716129E-2	-7.263541975E-2	1.023586436E-1	2.126129838E-2	1.001261660E-1
1.666666667E0	7.766508727E-2	-6.884525980E-2	4.604493790E-2	4.507081017E-2	-9.421166446E-3
1.700000000E0	7.862908352E-2	-6.963069908E-2	8.790370480E-2	-4.932218379E-2	-7.276251441E-2
1.733333333E0	7.281425298E-2	-7.213340539E-2	2.311644633E-1	-2.003838305E-2	-2.302943166E-1
1.766666667E0	6.327612908E-2	-7.096659128E-2	2.957677255E-1	-4.266109201E-2	-2.926748686E-1
1.800000000E0	5.330259507E-2	-7.497747819E-2	1.784028781E-1	5.990716041E-2	-1.680438009E-1
1.833333333E0	5.207320902E-2	-6.697278059E-2	2.906260070E-2	-1.244934527E-2	-2.626116071E-2
1.866666667E0	5.155185103E-2	-7.580743454E-2	1.557902937E-1	1.523882490E-1	-3.237957952E-2
1.900000000E0	4.991457038E-2	-5.681356398E-2	4.242602028E-1	3.870425995E-1	-1.737663541E-1
1.933333333E0	3.996742742E-2	-5.000459457E-2	2.139601763E-1	1.307525364E-1	-1.693597687E-1
1.966666667E0	3.862391914E-2	-4.809672823E-2	2.098504441E-1	1.927436136E-1	-8.298860357E-2
2.000000000E0	3.443485385E-2	-3.715502033E-2	3.511209305E-1	2.325318503E-1	-2.630871461E-1
2.033333333E0	2.108477606E-2	-3.259460487E-2	2.882105094E-1	2.879751138E-1	-1.164609466E-2
2.066666667E0	3.365844754E-2	-1.795667941E-2	3.676537090E-1	2.785769111E-1	2.399253099E-1
2.100000000E0	3.707979673E-2	-1.402281080E-2	2.198112110E-1	1.104946522E-1	1.900207892E-1
2.133333333E0	4.632650015E-2	-1.059036926E-2	3.042754552E-1	1.257018234E-1	2.770967416E-1
2.166666667E0	5.555291283E-2	-5.642689238E-3	2.949266085E-1	1.458512175E-1	2.563379152E-1
2.200000000E0	6.341569450E-2	-8.669547628E-4	3.474046904E-1	-6.173849850E-2	3.418747969E-1
2.233333333E0	7.834456596E-2	-9.758589138E-3	3.742003616E-1	-2.814834188E-1	2.465623562E-1
2.266666667E0	7.985318491E-2	-1.963251602E-2	1.892136373E-1	-1.860025497E-1	3.471097851E-2
2.300000000E0	8.065863119E-2	-2.215875912E-2	2.690129428E-1	-2.641342294E-1	5.100070831E-2
2.333333333E0	8.325323213E-2	-3.724146465E-2	4.885187018E-1	-4.478822851E-1	-1.950691691E-1
2.366666667E0	6.765401992E-2	-5.201757812E-2	4.069538186E-1	-3.096120784E-1	-2.641056065E-1
2.400000000E0	6.564619170E-2	-5.788226987E-2	2.416080861E-1	-1.933316595E-1	-1.449045780E-1
2.433333333E0	5.799371472E-2	-6.490635542E-2	1.964534835E-1	4.866619229E-2	-1.903301681E-1
2.466666667E0	5.295751383E-2	-5.463785705E-2	4.745479569E-1	9.882883248E-2	-4.641428932E-1
2.500000000E0	2.705085517E-2	-5.831776659E-2	4.039104517E-1	4.173157439E-2	-4.017488378E-1
2.533333333E0	2.617425797E-2	-5.185575209E-2	8.013994513E-2	-2.736368267E-2	7.532356655E-2
2.566666667E0	3.207242627E-2	-6.014201210E-2	1.671159869E-1	3.544187781E-2	-1.633145014E-1
2.600000000E0	1.528662454E-2	-4.949296024E-2	2.462944509E-1	1.696715886E-1	-1.785287332E-1
2.633333333E0	2.017051073E-2	-4.883057287E-2	6.495807657E-2	8.413709089E-3	6.441087805E-2
2.666666667E0	1.958068308E-2	-4.893204630E-2	5.435221079E-2	5.183872916E-2	-1.633734914E-2
2.700000000E0	1.908135412E-2	-4.537465759E-2	2.495456487E-1	1.133834065E-1	-2.222998738E-1
2.733333333E0	4.760691492E-3	-4.137315253E-2	1.667672374E-1	1.006746899E-1	-1.329508115E-1
2.766666667E0	1.021796668E-2	-3.866301160E-2	3.457359135E-1	1.069237400E-1	3.287866112E-1
2.800000000E0	2.667979891E-2	-3.424490320E-2	3.730530261E-1	1.532716051E-2	3.727380292E-1
2.833333333E0	3.506716863E-2	-3.764120090E-2	1.882509277E-1	-2.165813569E-2	1.870009009E-1
2.866666667E0	3.914652563E-2	-3.568877891E-2	2.635661408E-1	9.361342627E-2	2.463810808E-1
2.900000000E0	5.149257402E-2	-3.140030581E-2	4.004127991E-1	9.135167918E-2	3.898528958E-1
2.933333333E0	6.513671869E-2	-2.959866697E-2	4.158173932E-1	1.747822518E-1	3.772999721E-1
2.966666667E0	7.664590549E-2	-1.974815569E-2	3.756187911E-1	1.973608671E-1	3.195906200E-1
3.000000000E0	8.644276002E-2	-1.644127582E-2	1.246457517E-1	-2.987503440E-2	1.210125851E-1
3.033333333E0	8.471341116E-2	-2.173982465E-2	6.552471612E-2	-6.368916667E-2	-1.540059970E-2
3.066666667E0	8.541605337E-2	-2.068722027E-2	7.406026787E-2	-7.275949730E-2	-1.381950901E-2
3.100000000E0	8.379211056E-2	-2.659045781E-2	1.464609778E-1	-6.547431773E-2	-1.310111893E-1
