	质量 B					
t	x	y	vx	vy	v	
0.000	-523.7	-198.7			
0.017	-92.25	237.0			
0.033					
0.050	-641.9	-281.8			
0.067	-642.5	-282.1	665.5	489.7	826.3
0.083	-619.8	-265.5	318.9	474.6	571.8
0.100	-631.9	-266.3	-370.3	-42.27	372.7
0.117	-632.1	-266.9	9.588	-21.88	23.89
0.133	-631.5	-267.0	-19.08	-4.518	19.60
0.150	-632.7	-267.0	-32.62	-2.422	32.71
0.167	-632.6	-267.1	8.795	-20.99	22.75
0.183	-632.5	-267.7	-126.9	-16.77	128.0
0.200	-636.9	-267.6	38.11	11.79	39.89
0.217	-631.2	-267.3	145.3	78.88	165.4
0.233	-632.0	-265.0	-37.38	79.39	87.75
0.250	-632.4	-264.7	87.13	31.19	92.55
0.267	-629.1	-264.0	54.74	-8.378	55.38
0.283	-630.6	-265.0	6.925	-33.94	34.64
0.300	-628.9	-265.1	42.68	-7.140	43.27
0.317	-629.2	-265.2	40.07	-104.4	111.8
0.333	-627.5	-268.6	-24.83	-40.73	47.70
0.350	-630.0	-266.6	-87.26	33.74	93.56
0.367	-630.5	-267.5	-10.15	-66.42	67.19
0.383	-630.3	-268.8	-7.821	-116.8	117.0
0.400	-630.7	-271.4	-27.19	-62.41	68.07
0.417	-631.3	-270.9	-41.41	52.33	66.73
0.433	-632.1	-269.6	-131.7	133.0	187.2
0.450	-635.6	-266.4	-112.3	115.4	161.1
0.467	-635.8	-265.8	-36.26	-5.398	36.66
0.483	-636.9	-266.6	-43.42	-69.75	82.16
0.500	-637.3	-268.1	-16.69	-211.5	212.2
0.517	-637.4	-273.7	0.495	-164.5	164.5
0.533	-637.3	-273.6	27.05	-15.64	31.25
0.550	-636.5	-274.2	-3.320	-31.26	31.44
0.567	-637.4	-274.6	-458.8	-2.082E3	2.132E3
0.583	-651.8	-343.6	-168.2	211.0	269.9
0.600	-643.0	-267.6	252.1	2.263E3	2.277E3
0.617	-643.4	-268.2	-14.90	-82.91	84.23
0.633	-643.5	-270.3	-2.672E3	-2.933E3	3.968E3
0.650	-732.5	-365.9	-2.678E3	-2.886E3	3.937E3
0.667	-732.8	-366.5	-5.953	-43.53	43.94
0.683	-732.7	-367.4	-21.60	-16.34	27.08
0.700	-733.5	-367.1	-35.98	20.56	41.44
0.717	-733.9	-366.7	-51.46	24.01	56.78
0.733	-735.2	-366.3	-76.67	17.58	78.66
0.750	-736.4	-366.1	-58.71	4.376	58.88
